chain,wallet_normalized,top10_count,tokens,meme_ids,star_level,score
base,0xada5bb90d0de0bd1b6f3938708f49295a8d1f7cb,1,$STONKEX,4,⭐,1
base,0xe209e0047731aa494289e1af9a0d03da19c5ef08,1,$STONKEX,4,⭐,1
base,0xf8b2807ac2f4cb0b296d1293376cef2636a37c9b,1,$STONKEX,4,⭐,1
base,0x06b7705137eead244eb7b94873a7dfe2acdfd234,1,$TOSHI,6,⭐,1
base,0x2e04722381a849b11ab20ebb57961f0e1ec14328,1,$TOSHI,6,⭐,1
base,0x370569843371126b169f35a51141e900f90d5b59,1,$TOSHI,6,⭐,1
base,0x373dfc63eb5f1c29861fc26f91854744b00e68d1,1,$TOSHI,6,⭐,1
base,0x64baeb02876aa58078aa25c1c43b7a5492873559,1,$TOSHI,6,⭐,1
base,0x706b9e61a2611b3d2a6691deacbcdb5cef4fefb7,1,$TOSHI,6,⭐,1
base,0x74e4c08bb50619b70550733d32b7e60424e9628e,1,$TOSHI,6,⭐,1
base,0x9b11d56d21c7963a25e9ddafac5ee0001ba0e3cc,1,$TOSHI,6,⭐,1
base,0xeaef88fe8904959ebede2caf1694b499e56e2269,1,$TOSHI,6,⭐,1
base,0xf5f6a2874c043e27b7d5a6e2a5ef6f192218560d,1,$TOSHI,6,⭐,1
